,type,
0,United StatesCalifornia/Cabernet/Napa,2006
1,United StatesCalifornia/Cabernet/Napa,2006
2,United StatesCalifornia/Cabernet/Napa,2006
3,United StatesCalifornia/Cabernet/Napa,2006
4,United StatesCalifornia/Cabernet/Napa,2006
5,United StatesCalifornia/Cabernet/Napa,2006
6,United StatesCalifornia/Cabernet/Napa,2006
7,United StatesCalifornia/Cabernet/Napa,2006
8,United StatesCalifornia/Cabernet/Napa,2006
9,United StatesCalifornia/Cabernet/Napa,2006
10,United StatesCalifornia/Cabernet/Napa,2006
11,United StatesCalifornia/Cabernet/Napa,2006
12,United StatesCalifornia/Cabernet/Napa,2006
13,United StatesCalifornia/Cabernet/Napa,2006
14,United StatesCalifornia/Cabernet/Napa,2006
15,United StatesCalifornia/Cabernet/Napa,2006
16,United StatesCalifornia/Cabernet/Napa,2006
17,United StatesCalifornia/Cabernet/Napa,2006
18,United StatesCalifornia/Cabernet/Napa,2006
19,United StatesCalifornia/Cabernet/Napa,2006
20,United StatesCalifornia/Cabernet/Napa,2006
21,United StatesCalifornia/Cabernet/Napa,2006
22,United StatesCalifornia/Cabernet/Napa,2006
23,United StatesCalifornia/Cabernet/Napa,2006
24,United StatesCalifornia/Cabernet/Napa,2006
25,United StatesCalifornia/Cabernet/Napa,2006
26,United StatesCalifornia/Cabernet/Napa,2006
27,United StatesCalifornia/Cabernet/Napa,2006
28,United StatesCalifornia/Cabernet/Napa,2006
29,United StatesCalifornia/Cabernet/Napa,2006
30,United StatesCalifornia/Cabernet/Napa,2006
31,United StatesCalifornia/Cabernet/Napa,2006
32,United StatesCalifornia/Cabernet/Napa,2006
33,United StatesCalifornia/Cabernet/Napa,2006
34,United StatesCalifornia/Cabernet/Napa,2006
35,United StatesCalifornia/Cabernet/Napa,2006
36,United StatesCalifornia/Cabernet/Napa,2006
37,United StatesCalifornia/Cabernet/Napa,2006
38,United StatesCalifornia/Cabernet/Napa,2006
39,United StatesCalifornia/Cabernet/Napa,2006
40,United StatesCalifornia/Cabernet/Napa,2006
41,United StatesCalifornia/Cabernet/Napa,2006
42,United StatesCalifornia/Cabernet/Napa,2006
43,United StatesCalifornia/Cabernet/Napa,2006
44,United StatesCalifornia/Cabernet/Napa,2006
45,United StatesCalifornia/Cabernet/Napa,2006
46,United StatesCalifornia/Cabernet/Napa,2006
47,United StatesCalifornia/Cabernet/Napa,2006
48,United StatesCalifornia/Cabernet/Napa,2006
49,United StatesCalifornia/Cabernet/Napa,2006
50,United StatesCalifornia/Cabernet/Napa,2006
51,United StatesCalifornia/Cabernet/Napa,2006
52,United StatesCalifornia/Cabernet/Napa,2006
53,United StatesCalifornia/Cabernet/Napa,2006
54,United StatesCalifornia/Cabernet/Napa,2006
55,United StatesCalifornia/Cabernet/Napa,2006
56,United StatesCalifornia/Chardonnay,"An exceptional year, distinct for vibrancy and density; ageworthy"
